trainCode,stationCode,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime
11058,KRE,09:42 25-Feb,09:57 25-Feb,09:44 25-Feb,09:59 25-Feb
11058,JUC,10:08 25-Feb,10:22 25-Feb,10:15 25-Feb,10:31 25-Feb
11058,JRC,10:24 25-Feb,10:41 25-Feb,10:26 25-Feb,10:43 25-Feb
11058,PGW,10:38 25-Feb,10:57 25-Feb,10:40 25-Feb,11:00 25-Feb
11058,PHR,10:58 25-Feb,11:17 25-Feb,11:00 25-Feb,11:18 25-Feb
11058,LDH,11:30 25-Feb,11:42 25-Feb,11:45 25-Feb,11:46 25-Feb
11058,AHH,12:21 25-Feb,12:27 25-Feb,12:23 25-Feb,12:29 25-Feb
11058,MET,12:40 25-Feb,12:46 25-Feb,12:45 25-Feb,12:49 25-Feb
11058,DUI,13:25 25-Feb,13:16 25-Feb,13:45 25-Feb,13:53 25-Feb
11058,NBA,14:06 25-Feb,14:22 25-Feb,14:08 25-Feb,14:33 25-Feb
11058,PTA,14:40 25-Feb,15:00 25-Feb,14:45 25-Feb,15:05 25-Feb
11058,RPJ,15:22 25-Feb,15:33 25-Feb,15:25 25-Feb,15:38 25-Feb
11058,UBC,15:48 25-Feb,15:55 25-Feb,15:50 25-Feb,15:57 25-Feb
11058,UMB,16:10 25-Feb,16:11 25-Feb,16:23 25-Feb,16:23 25-Feb
11058,SHDM,16:37 25-Feb,16:43 25-Feb,16:39 25-Feb,16:45 25-Feb
11058,KKDE,16:55 25-Feb,17:02 25-Feb,16:57 25-Feb,17:04 25-Feb
11058,NLKR,17:10 25-Feb,17:18 25-Feb,17:12 25-Feb,17:20 25-Feb
11058,TRR,17:18 25-Feb,17:28 25-Feb,17:20 25-Feb,17:29 25-Feb
11058,KUN,17:30 25-Feb,17:42 25-Feb,17:32 25-Feb,17:44 25-Feb
11058,GRA,17:46 25-Feb,18:01 25-Feb,17:48 25-Feb,18:03 25-Feb
11058,PNP,18:01 25-Feb,18:22 25-Feb,18:03 25-Feb,18:24 25-Feb
11058,SMK,18:17 25-Feb,18:45 25-Feb,18:19 25-Feb,18:47 25-Feb
11058,GNU,18:30 25-Feb,18:58 25-Feb,18:32 25-Feb,19:00 25-Feb
11058,SNP,18:45 25-Feb,19:20 25-Feb,18:47 25-Feb,19:23 25-Feb
